customer_id,full_name,age,gender,email,phone,street_address,city,state,zip_code,registration_date,preferred_channel
4c30e132-0704-4459-a509-9eddde934977,Mark Johnson,40.0,Male,mark.johnson@yahoo.com,989.608.3863,819 Johnson Course,Houston,Texas,29158,2024-04-25,
68bec407-275f-4b5b-9a82-13d02f54626a,Robert Smith,33.0,Male,smithr@yahoo.com,(518)349-5931x0341,35116 Michael Key Suite 078,Austin,Texas,16862,2021-05-30,in-store
4466459f-76c8-433c-814e-6d59cb4131fc,Jamie Chavez,42.0,Female,jchavez@gmail.com,364.583.5030x564,419 Amanda Gardens,Detroit,Michigan,21918,2023-12-14,online
04c36a25-02f3-462c-92b0-6bf291c57706,Thomas Bradley,53.0,Male,thomas.bradley@hotmail.com,(332)887-1012x269,7242 Julie Plain Suite 969,Fort Worth,Texas,52851,2022-07-11,both
e916df3d-c3f5-40b0-8ae2-5d043be88300,Jane Ferrell,32.0,Female,jane.ferrell@hotmail.com,5484281489,845 Kelly Estate,Atlanta,Georgia,59971,2020-09-06,online
0709fd3c-d251-486e-8864-4b18dcd01e57,Jacqueline Martin,32.0,Female,jmartin@gmail.com,(578)624-8963,15430 Natalie Common Apt. 718,San Francisco,California,16984,2022-12-28,in-store
d7c50fae-43b8-4945-86f8-b8f9d4d2d71a,Jennifer Powers,53.0,Female,jennifer.powers@yahoo.com,001-403-910-5183x473,31509 Brianna Avenue,Tempe,Arizona,09806,2021-04-10,in-store
d61d8f7b-c2d0-4548-9f3b-da16dc3146ad,David Kennedy,44.0,Male,david_kennedy@gmail.com,,6670 Bruce Stream Suite 133,Tucson,Arizona,25432,2022-09-04,in-store
fd54988d-3cca-4a02-9254-b4fa7a2d5451,Anthony Kidd,29.0,Male,kidda@gmail.com,001-287-923-4309x8050,7360 Nicholas Loaf Suite 746,New York City,New York,91804,2024-05-31,online
a960dd54-ee35-4731-b29e-d8de6c5793dc,Jonathan Farrell,41.0,Male,jfarrell@gmail.com,569-698-5435,91361 Beth Canyon,Syracuse,New York,81684,2022-01-24,in-store
e5249c67-3787-4ee6-ac59-f8d74639244b,James Powers,29.0,Male,powersj@yahoo.com,235-642-7849,9911 William Curve,San Francisco,California,46246,2021-05-13,online
dd0f406f-fb31-4d7c-b3ed-c59f45bf8f96,Tara Garcia,29.0,Female,garciat@gmail.com,874.201.6400x52427,4935 Grace Walk,Columbus,Ohio,,2020-09-04,online
359110d0-d634-4b39-8fef-36111b3742d2,Ashley Landry,37.0,Female,ashley_landry@gmail.com,858-269-2322,826 Bobby Lakes Apt. 533,Seattle,Washington,87917,2022-03-04,online
35dfe82b-dd9b-4841-821d-c6ca82c646eb,Christopher Middleton,18.0,Male,middletonc@hotmail.com,+1-636-454-1458x68501,16073 Lisa Mount Suite 433,Macon,Georgia,03602,2021-08-22,both
dc46a263-7457-4572-a9d8-5eaaa2284b96,Beverly Terrell,18.0,Non-binary,beverly.terrell@gmail.com,783.856.1595x14846,569 Paul Ports Apt. 406,Arlington,Virginia,00722,2023-03-02,in-store
426c4dcd-d40d-4e1f-ac0b-e11708b7f8c3,Melissa Spencer,28.0,Female,melissa.spencer@gmail.com,001-495-377-7387,946 Kevin Fords,Sacramento,California,56847,2020-08-07,online
22c4c8b5-9c60-4e20-9968-a886e2868da0,Drew Beck,22.0,Male,beckd@gmail.com,001-967-263-2016x328,32003 Carr Trafficway Apt. 769,Champaign,Illinois,25986,2025-02-14,online
32a6feeb-ac77-4fde-8a21-70869c6815e2,Kristin Lowery,38.0,Female,loweryk@gmail.com,387-434-7143x455,9868 Merritt Summit Suite 743,Fort Worth,Texas,84080,2021-03-27,in-store
e9bd1176-329a-4737-9444-bfe8e8bd1dee,Chris Reyes,24.0,Male,chris.reyes@gmail.com,805.946.6889x3734,5876 Jamie Manor Suite 909,Miami,Florida,50358,2023-11-13,both
abda27bb-772c-4ed5-ba4e-a9bb0c376fc6,Alyssa Rogers,18.0,Female,arogers@yahoo.com,(253)775-5646x4170,98069 Christopher Meadow Apt. 720,Springfield,Massachusetts,34600,2020-08-09,online
c41b5601-4c95-46d5-abab-e7043248fb1d,Courtney Jones,52.0,Female,cjones@gmail.com,001-645-829-9124x190,,Miami,Florida,61453,2022-04-16,online
65ef3d0c-894e-447d-b59f-025307cabe1b,Jennifer Espinoza,32.0,Female,espinozaj@hotmail.com,985-406-7165,49190 Patel Shore,Toledo,Ohio,49072,2023-09-21,both
de4b2497-46bb-4130-9cd6-f571e9f2fb65,Jeffrey Gross,35.0,Male,grossj@hotmail.com,+1-665-607-5273x545,6945 Mariah Corners Suite 737,Richmond,Virginia,75192,2022-03-27,online
c9b0a5a5-5ffa-4f34-abce-cbe51ff24bd6,Kristi Black,18.0,Female,blackk@gmail.com,+1-695-578-8568x55744,8377 Mcguire Course Suite 363,Orlando,Florida,40636,2023-12-01,online
8ea18761-b9b3-47b5-b907-942665ba2b41,Barbara Lee,28.0,Female,leeb@hotmail.com,435-924-0824x0084,37498 Hooper Village,Phoenix,Arizona,25944,2023-07-29,online
0733eb93-5068-4a55-82f3-17a77dd504e0,Brian Smith,36.0,Male,bsmith@yahoo.com,831-986-9993,04711 Vasquez Ports Apt. 229,Trenton,New Jersey,40325,2024-03-31,online
77227d43-31f5-4434-acf3-f02df29b0920,Terry Evans,21.0,Male,tevans@yahoo.com,(681)220-6797,133 Guerrero Estate,Buffalo,New York,31940,2022-10-01,online
7475b654-38a3-4c0c-baec-a8791a4f5e40,Crystal Mann,39.0,Female,crystal_mann@hotmail.com,902-649-9471,9361 Deborah Grove,Greensboro,North Carolina,19144,2023-09-30,in-store
1e5da653-be33-4961-9df8-abd2fd7a7040,Holly Bender,27.0,Non-binary,hbender@hotmail.com,001-990-649-0278,065 Johnson Forks,Rochester,New York,88882,2024-11-19,online
a406b62f-afe9-41d3-ad56-870aa703b3c1,Christopher Richards,31.0,Male,christopher.richards@hotmail.com,954-851-6808,5512 Jenkins Park Suite 680,Buffalo,New York,60115,2024-10-07,online
e5a1f638-ab62-4848-b50b-074713573f20,Amy Stone,27.0,Female,amy.stone@hotmail.com,324.980.8613,48247 Martinez Roads,Greensboro,North Carolina,80307,2022-05-29,online
420d30bf-5c49-4cd2-94e2-ad97d77ef0b9,Theresa Holland,57.0,Female,hollandt@hotmail.com,840.944.9972x78755,7737 Patrick Rapid Apt. 146,Atlanta,Georgia,45049,2021-05-05,both
bd975e68-2907-4e5b-ad6c-713aaabe80f5,Tasha Kane,34.0,Female,kanet@hotmail.com,(370)928-9517,0576 Mcneil Turnpike,Pittsburgh,Pennsylvania,,2023-11-01,both
c8c9e168-f444-4b91-9f0c-13373c3351c9,Alexis Thomas,22.0,Female,alexis_thomas@yahoo.com,643.216.1172,9615 Finley Road Suite 809,Allentown,Pennsylvania,09469,2025-02-12,online
5634f1e2-8892-41b4-87f0-2533a269bf74,Angel Flynn,44.0,Male,angel_flynn@yahoo.com,+1-637-492-3747x407,86922 Christian Ways,Pittsburgh,Pennsylvania,50641,2021-08-23,online
b1baa15e-9859-41fe-9832-5d2af7c20b81,Benjamin Landry,20.0,Male,blandry@yahoo.com,+1-664-409-0974x39533,4367 John Ports Suite 944,Savannah,Georgia,03376,2024-05-02,online
5ff3b719-34ea-4f22-ab48-c4ffdc0ac4e6,Lori Berger,37.0,Female,bergerl@yahoo.com,928.658.8424,521 Murphy Mall,Erie,Pennsylvania,23522,2022-07-24,both
291a7e1f-97c0-4551-9099-822be36cd13e,Nicole Morgan,18.0,Female,nicole_morgan@gmail.com,+1-517-954-9651,685 Krystal Bridge,San Diego,California,35164,2021-05-22,online
eeac6386-76dc-4c35-82cb-f24fe791d708,Allison Henson,19.0,Female,ahenson@yahoo.com,811.338.2675x8692,746 Donald Camp,Lowell,Massachusetts,40394,2022-12-04,online
dc3cb8d4-d6da-43a7-a7b0-48a9585c5f7e,Roy Gilbert,37.0,Male,roy.gilbert@yahoo.com,2642317139,7351 Stephens Rue,Virginia Beach,Virginia,47513,2024-12-26,online
185f50b0-5496-453e-89a0-1c40a8e53b17,Rachel Sanchez,43.0,Female,rachel.sanchez@gmail.com,722-284-2102x053,335 Kristina Ranch,Orlando,Florida,00872,2023-09-05,online
b7e1654f-755d-4bc9-9832-c1f46212bbaa,Christopher Williams,37.0,Male,cwilliams@yahoo.com,3849700766,7589 Shannon Forges,San Antonio,Texas,81124,2023-07-03,in-store
d88de982-c271-48cc-845a-f11cac413f0b,Michelle Wallace,33.0,Female,michelle.wallace@gmail.com,789.961.1836x736,49985 Vang Pines,San Antonio,Texas,39153,2022-04-19,both
d3f9a5b1-bef2-4d3a-a8b8-52e3fc395afb,James Blair,31.0,Male,james_blair@hotmail.com,+1-685-716-5604,2711 Christopher Court Suite 280,Erie,Pennsylvania,77370,2021-07-26,online
b789d3ad-28e9-41ab-aafd-00111af51920,Ashley Romero,18.0,Female,ashley.romero@gmail.com,001-499-480-9402x44550,8514 Lindsay Vista,Charlotte,North Carolina,74027,2023-12-25,in-store
